"","Fold Change","log2(FC)"
"P12110",8.689,3.1192
"Q14019",0.1161,-3.1066
"P18206",0.11639,-3.1029
"P12532",0.11666,-3.0997
"P40926",0.11753,-3.0888
"IPI00477644",8.4938,3.0864
"P32926",0.11784,-3.0851
"IPI00418411",8.4754,3.0833
"P01700",0.11851,-3.077
"P40925",0.11987,-3.0604
"IPI00550990",8.314,3.0555
"O75594",0.12073,-3.0502
"IPI00412044",8.26,3.0461
"IPI00550392",8.2584,3.0459
"P22314",0.12114,-3.0452
"Q6GMW6",8.2384,3.0424
"Q96E61",8.2218,3.0395
"IPI00386785",8.2053,3.0366
"Q6P5S3",8.2053,3.0365
"P29508",0.12221,-3.0325
"Q6P2J1",8.1721,3.0307
"IPI00550213",8.1585,3.0283
"P02545",0.12358,-3.0165
"Q6DHW4",8.0763,3.0137
"P40121",0.12385,-3.0133
"P29373",0.12396,-3.0121
"Q6UX06",0.12472,-3.0032
"P01780",0.12507,-2.9992
"O14773",0.12539,-2.9955
"Q14914",0.12541,-2.9953
"Q8N4F0",0.12571,-2.9918
"P35754",0.12612,-2.9871
"P0DOX2",0.12618,-2.9865
"A0A075B6H7",0.12694,-2.9778
"IPI00549788",7.7966,2.9628
"IPI00550062",7.7966,2.9628
"P17066",0.12885,-2.9562
"IPI00456619",7.7433,2.9529
"IPI00550508",7.7316,2.9508
"IPI00550162",7.7143,2.9475
"P01860",0.12965,-2.9473
"P02790",0.13128,-2.9293
"IPI00171834",7.5742,2.9211
"Q16651",0.13245,-2.9165
"Q8TDL5",0.13247,-2.9163
"Q9UKR3",0.13349,-2.9052
"Q9BRZ2",0.13352,-2.9049
"IPI00386438",7.4762,2.9023
"IPI00549485",7.4635,2.8999
"Q9NYL9",0.1345,-2.8944
"P05156",0.13615,-2.8768
"P22352",0.13649,-2.8732
"IPI00014260",7.2948,2.8669
"P54652",0.13748,-2.8627
"IPI00551049",7.2735,2.8626
"Q8WV93",0.13778,-2.8596
"Q9UIV8",0.1382,-2.8552
"B2R4C5",7.1822,2.8444
"P13797",0.13929,-2.8438
"IPI00550996",7.1552,2.839
"P07900",0.13999,-2.8366
"P02675",0.14221,-2.8139
"IPI00418512",7.0118,2.8098
"O75015",0.14273,-2.8086
"D9YZU7",6.9886,2.805
"P05120",0.1433,-2.8029
"Q9UL46",0.14393,-2.7966
"P04004",0.1444,-2.7918
"P13647",6.9196,2.7907
"Q9P1F3",0.14456,-2.7903
"Q86SG5",0.14474,-2.7885
"P22626",0.14501,-2.7858
"Q8TCD0",6.8912,2.7848
"Q99497",0.14602,-2.7757
"IPI00549363",6.8242,2.7707
"IPI00419424",6.78,2.7613
"IPI00415056",6.7798,2.7612
"B9A064",0.14782,-2.7581
"P11142",0.14963,-2.7406
"P60660",0.15036,-2.7335
"P62987",0.15036,-2.7335
"IPI00430847",6.6225,2.7274
"IPI00430848",6.6134,2.7254
"A0A0B4J1U7",0.15127,-2.7248
"IPI00448707",6.5819,2.7185
"IPI00440577",6.5567,2.713
"P55072",6.5441,2.7102
"IPI00550976",6.5366,2.7085
"Q6GMX0",6.5252,2.706
"IPI00430820",6.5092,2.7025
"IPI00448845",6.5092,2.7025
"Q7Z3Y4",6.5092,2.7025
"A0A087WSY4",0.15369,-2.7019
"Q6P5S8",6.5008,2.7006
"IPI00472961",6.4777,2.6955
"IPI00472226",6.4712,2.694
"IPI00446503",6.4452,2.6882
"P02787",0.15515,-2.6882
"P01024",0.15612,-2.6793
"IPI00473015",6.4042,2.679
"A0A0J9YXX1",0.15628,-2.6778
"Q6MZW0",6.3983,2.6777
"IPI00333429",6.3954,2.677
"P62328",0.15744,-2.6671
"IPI00550296",6.3101,2.6577
"P05090",0.15899,-2.653
"P01034",0.15907,-2.6523
"A0A087WW87",0.1598,-2.6457
"IPI00166866",6.2455,2.6428
"P0DOX5",0.16034,-2.6408
"IPI00479553",6.2356,2.6405
"Q8N355",6.2302,2.6393
"P0DOY2",0.16093,-2.6355
"Q96K68",6.1686,2.6249
"IPI00412608",6.1383,2.6178
"Q8NCL6",6.1353,2.6171
"P19823",0.16344,-2.6132
"A0A0C4DH36",0.16378,-2.6102
"IPI00550305",6.0966,2.608
"P18669",0.16448,-2.604
"P62258",0.16471,-2.602
"A0A0B4J1Y9",0.16557,-2.5945
"Q6PJG0",6.0246,2.5909
"P02042",0.16643,-2.587
"IPI00411959",6.0075,2.5868
"Q13011",0.16736,-2.5789
"A1A4E9",5.9639,2.5763
"Q6XQN6",0.16777,-2.5754
"P62491",0.16792,-2.5742
"IPI00549330",5.9372,2.5698
"P04432",0.16858,-2.5685
"IPI00473097",5.9218,2.566
"Q99456",5.884,2.5568
"Q6N041",5.8748,2.5545
"IPI00413835",5.8629,2.5516
"Q6MZV6",5.8622,2.5514
"Q96DK0",5.8617,2.5513
"IPI00430844",5.8443,2.547
"Q6P089",5.8407,2.5461
"IPI00384948",5.8339,2.5445
"Q8WY24",5.8231,2.5418
"IPI00412929",5.8074,2.5379
"O43240",0.17266,-2.534
"IPI00433678",5.7874,2.5329
"Q6N090",5.7829,2.5318
"Q66K66",0.17297,-2.5314
"P02760",0.1732,-2.5295
"Q6ZVX0",5.7739,2.5295
"IPI00412365",5.7707,2.5288
"Q7Z2U7",5.76,2.5261
"Q6N091",5.7566,2.5252
"Q9NPP6",5.7564,2.5252
"Q6MZX9",5.7284,2.5181
"Q6IN99",5.7163,2.5151
"Q8NEJ1",5.6817,2.5063
"IPI00332588",5.6755,2.5048
"Q14210",0.17659,-2.5015
"P18510",0.17692,-2.4989
"P51148",0.17707,-2.4976
"IPI00061977",5.6186,2.4902
"P02671",0.17798,-2.4902
"IPI00240503",5.616,2.4895
"IPI00470554",5.5821,2.4808
"Q9BRQ8",5.5821,2.4808
"P15814",5.5733,2.4785
"Q6GMW3",5.565,2.4764
"Q9HC84",0.17977,-2.4758
"Q71UI9",0.18206,-2.4575
"Q8NFT8",0.18276,-2.452
"IPI00423462",5.4261,2.4399
"IPI00550909",5.4163,2.4373
"IPI00549303",5.3663,2.4239
"O00560",5.3388,2.4165
"IPI00412853",5.2851,2.4019
"IPI00413800",5.2851,2.4019
"IPI00477859",5.2851,2.4019
"P02766",0.18922,-2.4019
"P04264",5.2732,2.3987
"P99999",0.18964,-2.3987
"Q14602",0.18965,-2.3986
"P46940",0.18981,-2.3974
"IPI00382938",5.2583,2.3946
"Q9UM07",0.19065,-2.391
"P22531",0.19094,-2.3888
"P06702",0.19105,-2.388
"P00739",0.19107,-2.3878
"Q9UBG3",0.19152,-2.3845
"Q6PIL8",5.2091,2.381
"P26038",0.19222,-2.3792
"P09960",0.19227,-2.3788
"V9HW34",5.1911,2.376
"IPI00477069",5.1756,2.3717
"Q6PJF2",5.174,2.3713
"Q15084",0.19392,-2.3665
"P02679",0.19465,-2.3611
"Q7Z379",5.1318,2.3595
"IPI00395655",5.1256,2.3577
"IPI00550218",5.1256,2.3577
"Q8N5F4",5.1256,2.3577
"Q04760",0.1957,-2.3533
"P50395",0.19728,-2.3417
"P23280",0.19764,-2.339
"O60664",0.19802,-2.3363
"P07476",0.19827,-2.3345
"O15511",0.19865,-2.3317
"P59665",0.19981,-2.3233
"P07384",0.2014,-2.3119
"Q6MZM9",4.933,2.3025
"Q12841",0.20363,-2.296
"P05109",0.20461,-2.2891
"IPI00447449",4.8686,2.2835
"IPI00549255",4.8686,2.2835
"IPI00550825",4.8686,2.2835
"Q6GMV8",4.8686,2.2835
"Q6IPQ0",4.8686,2.2835
"Q08188",0.2062,-2.2779
"Q8WVQ1",4.846,2.2768
"P01742",0.20735,-2.2698
"P61457",0.20842,-2.2624
"IPI00477804",4.7902,2.2601
"P12955",0.20908,-2.2579
