"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"Q99497","-4.898734","-4.898734","-4.898734","-4.898734","-4.898734","-4.898734","-4.898734","-4.898734","-4.898734","-3.823967","-4.898734","-3.928081","-4.898734","-3.854959","-4.199764","-4.898734","-3.355719","-4.898734","-3.462408","-3.494877","-3.592694"
"Q99536","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-5.245956","-4.546988","-4.511167","-5.245956","-4.040577","-5.245956","-3.819788","-5.245956","-3.877260","-3.909707","-4.035552"
"Q99574","-5.235075","-5.235075","-5.235075","-3.720812","-5.235075","-5.235075","-5.235075","-5.235075","-5.235075","-4.160271","-5.235075","-5.235075","-4.529442","-5.235075","-4.536107","-5.235075","-5.235075","-5.235075","-5.235075","-4.530178","-5.235075"
"Q99598","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-5.046239","-3.784680","-5.046239","-4.347270","-5.046239","-5.046239"
"Q99650","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-5.595498","-4.896538","-5.595498","-5.595498","-5.595498"
"Q99674","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-3.849981","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951","-4.548951"
"Q99798","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.041675","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645","-4.740645"
"Q99877","-4.384492","-4.384492","-4.384492","-3.685522","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492"
"Q99878","-3.993397","-3.993397","-3.993397","-3.294427","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397"
"Q99880","-4.384492","-4.384492","-4.384492","-3.685522","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492"
