"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"A0A075B6H7","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-3.318135","-3.203010","-2.989738","-3.510646","-4.209616","-3.143712","-3.192066","-4.209616","-3.282871","-3.380698"
"A0A075B6H9","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.028214","-4.727184","-4.727184","-4.727184","-3.959239","-3.999913","-3.981299","-4.727184","-4.727184","-4.727184"
"A0A075B6I0","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.039006","-4.737976","-4.737976","-4.009661","-4.737976","-4.010728","-4.737976","-4.737976","-4.003751","-4.737976"
"A0A075B6I9","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-3.418779","-3.507771","-3.646680","-3.690476","-4.684533","-3.515415","-3.496822","-3.953115","-3.985563","-4.684533"
"A0A075B6K4","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-3.984012","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982"
"A0A075B6Q5","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.278676","-3.977646","-3.977646","-3.977646"
"A0A075B6R2","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.020816","-3.984892","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786"
"A0A075B6R9","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-2.990439","-3.296915","-3.180555","-3.224346","-3.962892","-3.100448","-3.206790","-3.486982","-3.218410","-3.997488"
"A0A075B6S5","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-3.418779","-4.691521","-4.691521","-4.691521","-4.691521","-3.992551","-4.691521","-3.953115","-4.691521","-4.691521"
"A0A075B6V5","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-3.976377","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-3.971388"
"A0A087WSY4","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.024522","-3.988599","-3.650373","-4.723492","-3.654548","-4.723492","-3.977654","-3.655765","-4.723492","-3.689158"
"A0A087WSY6","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-3.536226","-3.500285","-3.463101","-3.984012","-3.944392","-3.985060","-3.267494","-3.644587","-3.978067","-3.978976"
"A0A087WSZ0","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-3.947691","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661"
"A0A087WW87","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-3.221342","-3.184157","-4.399027","-3.364426","-4.399027","-3.386486","-4.399027","-4.399027","-3.700057"
"A0A0A0MRZ8","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-3.168245","-4.342332","-3.241255","-3.285042","-3.643362","-3.081964","-3.267494","-4.342332","-3.279113","-3.280023"
"A0A0A0MS14","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-3.951869","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839"
"A0A0A0MS15","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-3.551077","-4.691905","-3.353008","-4.691905","-3.959239","-3.300934","-4.691905","-3.659437","-3.992935","-3.692825"
"A0A0A0MT36","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-4.360613","-3.635393","-4.360613","-4.360613","-4.360613","-3.661643","-4.360613","-4.360613","-4.360613"
"A0A0A0MT89","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.730800","-3.031830","-2.995885","-3.730800","-3.002496","-3.730800","-3.003536","-3.730800","-3.730800","-3.730800","-3.730800"
"A0A0B4J1U3","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.020816","-4.719786","-4.719786","-4.719786","-4.719786","-3.691521","-4.719786","-3.953115","-3.508442","-4.719786"
"A0A0B4J1U7","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-3.758190","-2.994039","-2.853364","-3.059220","-3.006097","-2.925092","-2.751867","-2.947156","-2.967704","-3.000169","-2.959690"
"A0A0B4J1V0","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-4.396791","-3.125107","-3.038010","-3.109970","-3.697821","-3.482131","-3.221747","-4.396791","-4.396791","-3.293957","-3.391784"
"A0A0B4J1V2","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-4.691905","-3.397842","-4.691905","-4.691905","-3.992935","-4.691905"
"A0A0B4J1V7","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-4.371897","-3.672927","-4.371897","-4.371897","-4.371897"
"A0A0B4J1X5","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-3.840355","-2.659106","-2.905711","-2.646680","-2.912318","-2.747766","-2.878598","-2.743499","-2.911715","-2.871627","-3.141385"
"A0A0B4J1X8","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-4.375594","-3.173258","-4.375594","-3.654548","-4.375594","-3.676624","-4.375594","-4.375594","-4.375594"
"A0A0B4J1Y9","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-4.057377","-3.073951","-4.057377","-2.955072","-4.057377","-4.057377","-3.045661","-3.027066","-3.358407","-3.147831","-4.057377"
"A0A0B4J2D9","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-3.285922","-3.947691","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661"
"A0A0C4DH25","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-3.605737","-2.460803","-2.534006","-2.438832","-2.686740","-2.906767","-2.335600","-2.438741","-2.569167","-2.601629","-2.704002"
"A0A0C4DH29","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-3.117743","-4.082484","-2.947710","-4.082484","-4.082484","-4.082484","-4.082484","-4.082484","-3.383514","-3.287510"
"A0A0C4DH31","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-3.985563","-4.684533"
"A0A0C4DH34","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-3.418779","-4.646661","-3.947691","-4.646661","-3.474761","-3.515415","-3.274979","-3.351045","-4.646661","-3.685459"
"A0A0C4DH35","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-3.020834","-3.683862","-3.248736","-3.991485","-3.252915","-4.690455","-3.371887","-3.652085","-3.508442","-3.685459"
"A0A0C4DH36","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.716066","-4.017096","-3.981175","-3.642961","-3.987753","-3.948153","-3.988810","-3.970211","-3.949388","-3.981841","-3.982758"
"A0A0C4DH38","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-4.390491","-3.543710","-4.390491","-3.470582","-4.390491","-4.390491","-3.691521","-3.496822","-3.475981","-4.390491","-4.390491"
"A0A0C4DH43","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-4.096812","-3.397842","-4.096812","-4.096812","-4.096812","-4.096812"
"A0A0J9YVY3","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.102609","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579","-3.801579"
"A0A0J9YX35","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-3.175737","-3.683862","-3.470582","-4.691521","-3.650859","-3.992551","-3.496822","-3.953115","-3.508442","-4.691521"
"A0A0J9YXX1","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-4.690455","-3.543710","-3.382832","-4.690455","-3.991485","-3.951869","-4.690455","-4.690455","-4.690455","-3.985563","-3.685459"
"A0M8Q6","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194","-2.185563","-3.028194","-3.028194","-3.028194","-2.329224","-3.028194","-3.028194","-3.028194","-3.028194","-3.028194"
"A0N071","-3.31429","-3.31429","-2.61532","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429","-3.31429"
"A0N0Q3","-3.952336","-3.952336","-3.952336","-3.211839","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.253366","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336","-3.952336"
"A1A4E9","-3.577069","-3.577069","-1.916904","-2.739666","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-2.878099","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069","-3.577069"
"A2NJV5","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-4.400444","-3.186733","-4.400444","-3.113605","-3.701474","-4.400444","-3.100448","-3.285972","-3.185952","-3.394501","-4.400444"
"A2RTY6","-5.259951","-5.259951","-5.259951","-4.560983","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-4.222356","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951","-5.259951"
"A3KPC7","-3.993397","-3.993397","-3.993397","-3.294427","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397","-3.993397"
"A4D1W7","-4.612503","-4.612503","-4.612503","-3.913533","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503","-4.612503"
"A4D2P6","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.700258","-5.001304"
"A4FTV9","-4.00013","-4.00013","-4.00013","-3.30116","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013","-4.00013"
"A8K2U0","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-4.063989","-3.329884","-2.906085","-3.229177","-3.052454","-3.365019","-2.856470","-3.015248","-3.357288","-3.140429","-2.845333"
"A8K5I0","-4.215925","-4.215925","-4.215925","-3.516955","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-3.424939","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925","-4.215925"
"A8KA82","-4.647856","-4.647856","-4.647856","-3.634381","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-3.948886","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856","-4.647856"
"A8MTJ3","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-5.200658","-4.501689","-5.200658","-5.200658","-4.472370","-5.200658","-5.200658","-5.200658","-5.200658","-4.466355","-5.200658"
"A8MVU1","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-5.180718","-4.010728","-4.469288","-5.180718","-4.480828","-4.481749"
"B0ZBD0","-4.445487","-4.445487","-4.445487","-3.746517","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487","-4.445487"
"B1AK88","-4.725057","-4.725057","-4.725057","-3.887630","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.026087","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057"
"B1AP13","-4.931517","-4.931517","-4.931517","-4.232547","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517","-4.931517"
"B2CIS9","-4.667925","-4.667925","-4.667925","-3.968955","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-3.630283","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925","-4.667925"
"B2R4C5","-2.285043","-3.263817","-1.773166","-2.433201","-3.263817","-2.564847","-3.263817","-2.530495","-3.263817","-2.050310","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817","-3.263817"
"B2R4P9","-4.417664","-4.417664","-4.417664","-3.718694","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664","-4.417664"
"B2R4R0","-3.899023","-3.899023","-3.899023","-3.200053","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.162399","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023","-3.899023"
"B2R4S9","-4.384492","-4.384492","-4.384492","-3.685522","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492","-4.384492"
"B2R564","-4.411235","-4.411235","-4.411235","-3.712265","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-3.130539","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235","-4.411235"
"B3EWG6","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-4.533281","-3.601002","-3.565064","-4.533281","-3.571671","-3.532066","-3.396628","-3.554116","-3.834311","-3.264713","-2.913444"
"B3KP88","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.042378","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348","-3.741348"
"B3KS75","-4.820678","-4.820678","-4.820678","-4.121708","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678","-4.820678"
"B3KS79","-4.157253","-4.157253","-4.157253","-3.458284","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-3.323718","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253","-4.157253"
"B9A064","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-2.620829","-1.717214","-1.698116","-1.727064","-1.915270","-1.921859","-1.790875","-1.821203","-1.793730","-1.739941","-1.843878"
"D6REC4","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-5.458415","-4.759451","-5.458415","-5.458415","-5.458415"
"D9YZU5","-3.849385","-3.849385","-2.615320","-3.150415","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-2.811730","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385","-3.849385"
"D9YZU7","-4.413795","-4.413795","-2.615320","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-3.714825","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795","-4.413795"
"E7DVW5","-3.761252","-3.761252","-3.761252","-3.062282","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-2.937471","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252","-3.761252"
"E7ENL6","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-4.844967","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930","-5.543930"
"E9KL48","-5.03077","-5.03077","-5.03077","-4.33180","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077","-5.03077"
"G3V1M9","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-2.305566","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536","-3.004536"
"G3V1R1","-2.971846","-2.971846","-2.971846","-1.893571","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.272876","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846","-2.971846"
"G8H6I3","-1.966040","-1.750730","-1.433960","-2.351246","-3.387583","-2.120906","-2.233511","-2.688613","-3.387583","-2.208428","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583","-3.387583"
"G8JLB6","-4.920384","-4.920384","-4.920384","-4.083020","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.221415","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384","-4.920384"
"I6L9F7","-4.424004","-4.424004","-4.424004","-3.725034","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004","-4.424004"
"IPI00000494","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.026087","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057","-4.725057"
"IPI00004310","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-3.688628","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598","-4.387598"
"IPI00005794","-4.716292","-4.716292","-4.716292","-4.017322","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292","-4.716292"
"IPI00006006","-5.202177","-5.202177","-5.202177","-4.503209","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177","-5.202177"
"IPI00006114","-4.888939","-4.888939","-4.888939","-4.051538","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.189969","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939","-4.888939"
"IPI00006146","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.156742","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712","-3.855712"
"IPI00006969","-4.601157","-4.601157","-4.601157","-3.902188","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157","-4.601157"
"IPI00007257","-5.271319","-5.271319","-5.271319","-4.572352","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319","-5.271319"
"IPI00008207","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-4.395126","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095","-5.094095"
"IPI00008453","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.075566","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535","-4.774535"
"IPI00008964","-4.618596","-4.618596","-4.618596","-3.919626","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-3.580920","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596","-4.618596"
"IPI00009365","-4.197938","-4.197938","-4.197938","-3.498968","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938","-4.197938"
"IPI00009755","-3.933011","-3.933011","-3.234041","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011","-3.933011"
"IPI00009881","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-3.945425","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395","-4.644395"
"IPI00010154","-4.566518","-4.566518","-4.566518","-3.867548","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518","-4.566518"
"IPI00011454","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-3.657419","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389","-4.356389"
"IPI00012268","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-4.366128","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097","-5.065097"
"IPI00013193","-5.629660","-5.629660","-5.629660","-4.930702","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660","-5.629660"
"IPI00013400","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-3.994648","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618","-4.693618"
"IPI00013769","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-3.606302","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272","-4.305272"
"IPI00014260","-3.495529","-3.405166","-3.828742","-3.613733","-4.527712","-3.775337","-3.285880","-4.527712","-4.527712","-3.326196","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712","-4.527712"
