"Gene","FC","log2(FC)","raw.pval","-log10(p)"
"P04040",0.008144,-6.94,2.0213e-06,5.6944
"P62258",0.16471,-2.602,2.1013e-06,5.6775
"P29508",0.12221,-3.0325,2.1166e-06,5.6744
"P62805",0.028752,-5.1202,2.7022e-06,5.5683
"P40121",0.12385,-3.0133,2.8939e-06,5.5385
"Q9ULZ3",0.046586,-4.424,3.9519e-06,5.4032
"Q06830",0.23402,-2.0953,4.0112e-06,5.3967
"P29401",0.067537,-3.8882,4.4635e-06,5.3503
"P23141",0.041338,-4.5964,4.6325e-06,5.3342
"P01024",0.15612,-2.6793,4.6483e-06,5.3327
"P59998",0.023892,-5.3873,6.6433e-06,5.1776
"A0A0A0MRZ8",0.10084,-3.3098,8.8263e-06,5.0542
"A0A075B6H7",0.12694,-2.9778,9.7155e-06,5.0125
"P06312",0.21834,-2.1954,1.0225e-05,4.9904
"Q8TDL5",0.13247,-2.9163,1.0285e-05,4.9878
"P47756",0.084379,-3.567,1.0485e-05,4.9794
"P02675",0.14221,-2.8139,1.0842e-05,4.9649
"P61769",0.31277,-1.6768,1.1267e-05,4.9482
"P62491",0.16792,-2.5742,1.1779e-05,4.9289
"Q9BRZ2",0.13352,-2.9049,1.1992e-05,4.9211
"P32926",0.11784,-3.0851,1.2524e-05,4.9023
"A0A0B4J1V0",0.087826,-3.5092,1.3211e-05,4.879
"A0A075B6I9",0.10331,-3.2749,1.4124e-05,4.85
"P31946",0.067763,-3.8834,1.4638e-05,4.8345
"P0DTE1",0.10528,-3.2478,1.549e-05,4.81
"P61204",0.084692,-3.5616,1.5796e-05,4.8014
"P06703",0.11044,-3.1786,1.5818e-05,4.8008
"P29373",0.12396,-3.0121,1.6808e-05,4.7745
"P07602",0.30264,-1.7243,1.6893e-05,4.7723
"P04080",0.27853,-1.8441,1.6915e-05,4.7717
"P17066",0.12885,-2.9562,1.7093e-05,4.7672
"Q96G03",0.105,-3.2516,1.7452e-05,4.7582
"Q96HE7",0.24601,-2.0232,1.8156e-05,4.741
"Q16651",0.13245,-2.9165,1.8422e-05,4.7347
"P25311",0.29293,-1.7714,1.8876e-05,4.7241
"Q9UBG3",0.19152,-2.3845,2.0393e-05,4.6905
"A0A0J9YX35",0.08775,-3.5105,2.1405e-05,4.6695
"P22352",0.13649,-2.8732,2.1688e-05,4.6638
"O14773",0.12539,-2.9955,2.4131e-05,4.6174
"Q14914",0.12541,-2.9953,2.5852e-05,4.5875
"P59665",0.19981,-2.3233,2.7475e-05,4.5611
"P40925",0.11987,-3.0604,2.822e-05,4.5494
"P22314",0.12114,-3.0452,3.1085e-05,4.5074
"P14618",0.019048,-5.7142,3.3305e-05,4.4775
