"Common A B"	"Unique A"	"Unique B"
"P61604"	NA	NA
"P61769"	NA	NA
"P61916"	NA	NA
"P61978"	NA	NA
"P62258"	NA	NA
"P62820"	NA	NA
"P62942"	NA	NA
"P62987"	NA	NA
"P68104"	NA	NA
"P80303"	NA	NA
"P80511"	NA	NA
"P80748"	NA	NA
"P98160"	NA	NA
"P99999"	NA	NA
"Q01459"	NA	NA
"Q01518"	NA	NA
"Q02413"	NA	NA
"Q02487"	NA	NA
"Q02818"	NA	NA
"Q04695"	NA	NA
"Q05707"	NA	NA
"Q06828"	NA	NA
"Q06830"	NA	NA
"Q08188"	NA	NA
"Q08380"	NA	NA
"Q09666"	NA	NA
"Q11201"	NA	NA
"Q13162"	NA	NA
"Q13232"	NA	NA
"Q13310"	NA	NA
"Q13421"	NA	NA
"Q13510"	NA	NA
"Q13813"	NA	NA
"Q14118"	NA	NA
"Q14508"	NA	NA
"Q14515"	NA	NA
"Q14525"	NA	NA
"Q14574"	NA	NA
"Q14624"	NA	NA
"Q14697"	NA	NA
"Q14764"	NA	NA
"Q14914"	NA	NA
"Q15149"	NA	NA
"Q15293"	NA	NA
"Q15582"	NA	NA
"Q16378"	NA	NA
"Q16610"	NA	NA
"Q16769"	NA	NA
"Q16777"	NA	NA
"Q16851"	NA	NA
"Q24JP5"	NA	NA
"Q5XKE5"	NA	NA
"Q6MZM9"	NA	NA
"Q6P5S2"	NA	NA
"Q6PCB0"	NA	NA
"Q6UWP8"	NA	NA
"Q6UWT4"	NA	NA
"Q6UX06"	NA	NA
"Q6ZVX7"	NA	NA
"Q86SF2"	NA	NA
"Q86UD1"	NA	NA
"Q86VR7"	NA	NA
"Q86X29"	NA	NA
"Q86YQ8"	NA	NA
"Q8N4F0"	NA	NA
"Q8NBJ7"	NA	NA
"Q8NCL4"	NA	NA
"Q8TAX7"	NA	NA
"Q8TDL5"	NA	NA
"Q8WUM4"	NA	NA
"Q8WVQ1"	NA	NA
"Q8WWA0"	NA	NA
"Q92485"	NA	NA
"Q92520"	NA	NA
"Q92817"	NA	NA
"Q92820"	NA	NA
"Q92876"	NA	NA
"Q96BQ1"	NA	NA
"Q96DR5"	NA	NA
"Q96DR8"	NA	NA
"Q96FQ6"	NA	NA
"Q96HE7"	NA	NA
"Q96PD5"	NA	NA
"Q96S96"	NA	NA
"Q99497"	NA	NA
"Q99574"	NA	NA
"Q9BQR3"	NA	NA
"Q9BRK5"	NA	NA
"Q9GZZ8"	NA	NA
"Q9H8J5"	NA	NA
"Q9HAV0"	NA	NA
"Q9HC84"	NA	NA
"Q9NP55"	NA	NA
"Q9NZ08"	NA	NA
"Q9NZH8"	NA	NA
"Q9NZT1"	NA	NA
"Q9UBC9"	NA	NA
"Q9UBG3"	NA	NA
"Q9UBR2"	NA	NA
"Q9UBX7"	NA	NA
"Q9UGM3"	NA	NA
"Q9UHA7"	NA	NA
"Q9UHL4"	NA	NA
"Q9UIV8"	NA	NA
"Q9UKR0"	NA	NA
"Q9UKR3"	NA	NA
"Q9UL52"	NA	NA
"Q9UN36"	NA	NA
"Q9Y2Q0"	NA	NA
"Q9Y4L1"	NA	NA
"Q9Y5Z4"	NA	NA
"Q9Y6R7"	NA	NA
NA	"A0N071"	NA
NA	"A0N0Q3"	NA
NA	"A1A4E9"	NA
NA	"A2RTY6"	NA
NA	"A3KPC7"	NA
NA	"A3R0T8"	NA
NA	"A4D1W7"	NA
NA	"A4D2J9"	NA
NA	"A4FTV9"	NA
NA	"A5PL27"	NA
NA	"A8K1Y9"	NA
NA	"A8K5I0"	NA
NA	"A8KA82"	NA
NA	"B0ZBD0"	NA
NA	"B1AK88"	NA
NA	"B1AP13"	NA
NA	"B2CIS9"	NA
NA	"B2R4C5"	NA
NA	"B2R4P9"	NA
NA	"B2R4R0"	NA
NA	"B2R4S9"	NA
NA	"B2R564"	NA
NA	"B3KP88"	NA
NA	"B3KS75"	NA
NA	"B3KS79"	NA
NA	"B3KY79"	NA
NA	"D9YZU5"	NA
NA	"D9YZU7"	NA
NA	"D9ZGF2"	NA
NA	"D9ZGG2"	NA
NA	"E7DVW5"	NA
NA	"E7ENL6"	NA
NA	"E7EQR6"	NA
NA	"E9KL36"	NA
NA	"E9KL48"	NA
NA	"G3V1M9"	NA
NA	"G3V1R1"	NA
NA	"G8H6I3"	NA
NA	"G8JLB6"	NA
NA	"I6L9F7"	NA
NA	"IPI00000494"	NA
NA	"IPI00000875"	NA
NA	"IPI00004310"	NA
NA	"IPI00004419"	NA
NA	"IPI00005794"	NA
NA	"IPI00006006"	NA
NA	"IPI00006114"	NA
NA	"IPI00006146"	NA
NA	"IPI00006969"	NA
NA	"IPI00007257"	NA
NA	"IPI00007664"	NA
NA	"IPI00007765"	NA
NA	"IPI00008207"	NA
NA	"IPI00008453"	NA
NA	"IPI00008669"	NA
NA	"IPI00008964"	NA
NA	"IPI00009365"	NA
NA	"IPI00009755"	NA
NA	"IPI00009794"	NA
NA	"IPI00009881"	NA
NA	"IPI00010154"	NA
NA	"IPI00011454"	NA
NA	"IPI00012007"	NA
NA	"IPI00012268"	NA
NA	"IPI00013193"	NA
NA	"IPI00013400"	NA
NA	"IPI00013769"	NA
NA	"IPI00013896"	NA
NA	"IPI00014260"	NA
NA	"IPI00014919"	NA
NA	"IPI00016513"	NA
NA	"IPI00016570"	NA
NA	"IPI00017163"	NA
NA	"IPI00018920"	NA
NA	"IPI00018936"	NA
NA	"IPI00019533"	NA
NA	"IPI00019755"	NA
NA	"IPI00020430"	NA
NA	"IPI00021263"	NA
NA	"IPI00021290"	NA
NA	"IPI00021405"	NA
NA	"IPI00021794"	NA
NA	"IPI00021827"	NA
NA	"IPI00022202"	NA
NA	"IPI00022230"	NA
NA	"IPI00022417"	NA
NA	"IPI00022429"	NA
NA	"IPI00022628"	NA
NA	"IPI00022895"	NA
NA	"IPI00024102"	NA
NA	"IPI00024213"	NA
NA	"IPI00024976"	NA
NA	"IPI00024989"	NA
NA	"IPI00025110"	NA
NA	"IPI00025366"	NA
NA	"IPI00026119"	NA
NA	"IPI00026197"	NA
NA	"IPI00026530"	NA
NA	"IPI00026833"	NA
NA	"IPI00027192"	NA
NA	"IPI00027230"	NA
NA	"IPI00029928"	NA
NA	"IPI00030179"	NA
NA	"IPI00030460"	NA
NA	"IPI00030828"	NA
NA	"IPI00031983"	NA
NA	"IPI00032103"	NA
NA	"IPI00032179"	NA
NA	"IPI00032220"	NA
NA	"IPI00037070"	NA
NA	"IPI00037448"	NA
NA	"IPI00045536"	NA
NA	"IPI00050211"	NA
NA	"IPI00051152"	NA
NA	"IPI00059366"	NA
NA	"IPI00059476"	NA
NA	"IPI00061977"	NA
NA	"IPI00065533"	NA
NA	"IPI00066193"	NA
NA	"IPI00066374"	NA
NA	"IPI00073454"	NA
NA	"IPI00075248"	NA
NA	"IPI00095891"	NA
NA	"IPI00099977"	NA
NA	"IPI00102165"	NA
NA	"IPI00102281"	NA
NA	"IPI00103242"	NA
NA	"IPI00103397"	NA
NA	"IPI00107531"	NA
NA	"IPI00107831"	NA
NA	"IPI00148096"	NA
NA	"IPI00152540"	NA
NA	"IPI00152906"	NA
NA	"IPI00156689"	NA
NA	"IPI00161229"	NA
NA	"IPI00162735"	NA
NA	"IPI00163202"	NA
NA	"IPI00163446"	NA
NA	"IPI00164375"	NA
NA	"IPI00164540"	NA
NA	"IPI00164744"	NA
NA	"IPI00164755"	NA
NA	"IPI00165421"	NA
NA	"IPI00165652"	NA
NA	"IPI00165949"	NA
NA	"IPI00166205"	NA
NA	"IPI00166261"	NA
NA	"IPI00166613"	NA
NA	"IPI00166866"	NA
NA	"IPI00167222"	NA
NA	"IPI00168398"	NA
NA	"IPI00168884"	NA
NA	"IPI00169440"	NA
NA	"IPI00170493"	NA
NA	"IPI00171196"	NA
NA	"IPI00171501"	NA
NA	"IPI00171834"	NA
NA	"IPI00172579"	NA
NA	"IPI00174541"	NA
NA	"IPI00175024"	NA
NA	"IPI00176458"	NA
NA	"IPI00177543"	NA
NA	"IPI00177942"	NA
NA	"IPI00178071"	NA
NA	"IPI00179044"	NA
NA	"IPI00179357"	NA
NA	"IPI00180956"	NA
NA	"IPI00182469"	NA
NA	"IPI00182562"	NA
NA	"IPI00182944"	NA
NA	"IPI00183066"	NA
NA	"IPI00183695"	NA
NA	"IPI00184195"	NA
NA	"IPI00184363"	NA
NA	"IPI00184844"	NA
NA	"IPI00184978"	NA
NA	"IPI00185600"	NA
