"Common A B"	"Unique A"	"Unique B"
NA	"IPI00472961"	NA
NA	"IPI00473015"	NA
NA	"IPI00473069"	NA
NA	"IPI00473097"	NA
NA	"IPI00477069"	NA
NA	"IPI00477086"	NA
NA	"IPI00477145"	NA
NA	"IPI00477183"	NA
NA	"IPI00477206"	NA
NA	"IPI00477227"	NA
NA	"IPI00477298"	NA
NA	"IPI00477336"	NA
NA	"IPI00477452"	NA
NA	"IPI00477457"	NA
NA	"IPI00477463"	NA
NA	"IPI00477644"	NA
NA	"IPI00477714"	NA
NA	"IPI00477796"	NA
NA	"IPI00477804"	NA
NA	"IPI00477807"	NA
NA	"IPI00477859"	NA
NA	"IPI00477925"	NA
NA	"IPI00477962"	NA
NA	"IPI00478115"	NA
NA	"IPI00478156"	NA
NA	"IPI00478162"	NA
NA	"IPI00478198"	NA
NA	"IPI00478231"	NA
NA	"IPI00478276"	NA
NA	"IPI00478287"	NA
NA	"IPI00478348"	NA
NA	"IPI00478375"	NA
NA	"IPI00478522"	NA
NA	"IPI00478540"	NA
NA	"IPI00478599"	NA
NA	"IPI00478621"	NA
NA	"IPI00478671"	NA
NA	"IPI00478672"	NA
NA	"IPI00478761"	NA
NA	"IPI00478816"	NA
NA	"IPI00478853"	NA
NA	"IPI00478874"	NA
NA	"IPI00478991"	NA
NA	"IPI00479003"	NA
NA	"IPI00479007"	NA
NA	"IPI00479018"	NA
NA	"IPI00479144"	NA
NA	"IPI00479169"	NA
NA	"IPI00479186"	NA
NA	"IPI00479267"	NA
NA	"IPI00479309"	NA
NA	"IPI00479315"	NA
NA	"IPI00479319"	NA
NA	"IPI00479403"	NA
NA	"IPI00479461"	NA
NA	"IPI00479484"	NA
NA	"IPI00479490"	NA
NA	"IPI00479493"	NA
NA	"IPI00479553"	NA
NA	"IPI00479555"	NA
NA	"IPI00479579"	NA
NA	"IPI00479708"	NA
NA	"IPI00479805"	NA
NA	"IPI00479877"	NA
NA	"IPI00479883"	NA
NA	"IPI00479894"	NA
NA	"IPI00479902"	NA
NA	"IPI00479952"	NA
NA	"IPI00479981"	NA
NA	"IPI00480016"	NA
NA	"IPI00480034"	NA
NA	"IPI00480035"	NA
NA	"IPI00480091"	NA
NA	"IPI00480121"	NA
NA	"IPI00480131"	NA
NA	"IPI00480193"	NA
NA	"IPI00513726"	NA
NA	"IPI00513743"	NA
NA	"IPI00513786"	NA
NA	"IPI00513808"	NA
NA	"IPI00514090"	NA
NA	"IPI00514196"	NA
NA	"IPI00514201"	NA
NA	"IPI00514354"	NA
NA	"IPI00514381"	NA
NA	"IPI00514392"	NA
NA	"IPI00514466"	NA
NA	"IPI00514508"	NA
NA	"IPI00514655"	NA
NA	"IPI00514851"	NA
NA	"IPI00514912"	NA
NA	"IPI00514964"	NA
NA	"IPI00515021"	NA
NA	"IPI00515046"	NA
NA	"IPI00549172"	NA
NA	"IPI00549190"	NA
NA	"IPI00549205"	NA
NA	"IPI00549220"	NA
NA	"IPI00549254"	NA
NA	"IPI00549255"	NA
NA	"IPI00549259"	NA
NA	"IPI00549291"	NA
NA	"IPI00549303"	NA
NA	"IPI00549304"	NA
NA	"IPI00549319"	NA
NA	"IPI00549330"	NA
NA	"IPI00549363"	NA
NA	"IPI00549400"	NA
NA	"IPI00549422"	NA
NA	"IPI00549440"	NA
NA	"IPI00549462"	NA
NA	"IPI00549482"	NA
NA	"IPI00549485"	NA
NA	"IPI00549504"	NA
NA	"IPI00549514"	NA
NA	"IPI00549519"	NA
NA	"IPI00549520"	NA
NA	"IPI00549576"	NA
NA	"IPI00549594"	NA
NA	"IPI00549614"	NA
NA	"IPI00549615"	NA
NA	"IPI00549654"	NA
NA	"IPI00549670"	NA
NA	"IPI00549682"	NA
NA	"IPI00549705"	NA
NA	"IPI00549707"	NA
NA	"IPI00549725"	NA
NA	"IPI00549728"	NA
NA	"IPI00549769"	NA
NA	"IPI00549776"	NA
NA	"IPI00549788"	NA
NA	"IPI00549805"	NA
NA	"IPI00549831"	NA
NA	"IPI00549837"	NA
NA	"IPI00549839"	NA
NA	"IPI00549848"	NA
NA	"IPI00549878"	NA
NA	"IPI00549884"	NA
NA	"IPI00549899"	NA
NA	"IPI00549947"	NA
NA	"IPI00549998"	NA
NA	"IPI00550000"	NA
NA	"IPI00550048"	NA
NA	"IPI00550061"	NA
NA	"IPI00550062"	NA
NA	"IPI00550066"	NA
NA	"IPI00550073"	NA
NA	"IPI00550089"	NA
NA	"IPI00550090"	NA
NA	"IPI00550111"	NA
NA	"IPI00550115"	NA
NA	"IPI00550142"	NA
NA	"IPI00550162"	NA
NA	"IPI00550166"	NA
NA	"IPI00550184"	NA
NA	"IPI00550204"	NA
NA	"IPI00550207"	NA
NA	"IPI00550213"	NA
NA	"IPI00550218"	NA
NA	"IPI00550224"	NA
NA	"IPI00550241"	NA
NA	"IPI00550245"	NA
NA	"IPI00550292"	NA
NA	"IPI00550293"	NA
NA	"IPI00550296"	NA
NA	"IPI00550305"	NA
NA	"IPI00550315"	NA
NA	"IPI00550317"	NA
NA	"IPI00550363"	NA
NA	"IPI00550364"	NA
NA	"IPI00550392"	NA
NA	"IPI00550438"	NA
NA	"IPI00550462"	NA
NA	"IPI00550488"	NA
NA	"IPI00550508"	NA
NA	"IPI00550509"	NA
NA	"IPI00550513"	NA
NA	"IPI00550584"	NA
NA	"IPI00550589"	NA
NA	"IPI00550599"	NA
NA	"IPI00550640"	NA
NA	"IPI00550647"	NA
NA	"IPI00550654"	NA
NA	"IPI00550661"	NA
NA	"IPI00550663"	NA
NA	"IPI00550701"	NA
NA	"IPI00550717"	NA
NA	"IPI00550751"	NA
NA	"IPI00550769"	NA
NA	"IPI00550825"	NA
NA	"IPI00550861"	NA
NA	"IPI00550874"	NA
NA	"IPI00550909"	NA
NA	"IPI00550932"	NA
NA	"IPI00550935"	NA
NA	"IPI00550945"	NA
NA	"IPI00550947"	NA
NA	"IPI00550964"	NA
NA	"IPI00550976"	NA
NA	"IPI00550990"	NA
NA	"IPI00550996"	NA
NA	"IPI00551005"	NA
NA	"IPI00551041"	NA
NA	"IPI00551049"	NA
NA	"IPI00551050"	NA
NA	"O00115"	NA
NA	"O00159"	NA
NA	"O00462"	NA
NA	"O14556"	NA
NA	"O14672"	NA
NA	"O15335"	NA
NA	"O43291"	NA
NA	"O43345"	NA
NA	"O43511"	NA
NA	"O43581"	NA
NA	"O43790"	NA
NA	"O60245"	NA
NA	"O60476"	NA
NA	"O60716"	NA
NA	"O60814"	NA
NA	"O75369"	NA
NA	"O75372"	NA
NA	"O75888"	NA
NA	"O75944"	NA
NA	"O76009"	NA
NA	"O76013"	NA
NA	"O76014"	NA
NA	"O76015"	NA
NA	"O76031"	NA
NA	"O94985"	NA
NA	"O95025"	NA
NA	"O95084"	NA
NA	"O95395"	NA
NA	"O95678"	NA
NA	"O95793"	NA
NA	"O95841"	NA
NA	"O95973"	NA
NA	"P00748"	NA
NA	"P01594"	NA
NA	"P01597"	NA
NA	"P01611"	NA
NA	"P01614"	NA
NA	"P01615"	NA
NA	"P01715"	NA
NA	"P01762"	NA
NA	"P01764"	NA
NA	"P01766"	NA
NA	"P01767"	NA
NA	"P01772"	NA
NA	"P01824"	NA
NA	"P01889"	NA
NA	"P02144"	NA
NA	"P02489"	NA
NA	"P02743"	NA
NA	"P02768"	NA
NA	"P02812"	NA
NA	"P03950"	NA
NA	"P03952"	NA
NA	"P04181"	NA
NA	"P04211"	NA
NA	"P04280"	NA
NA	"P04350"	NA
NA	"P04899"	NA
NA	"P05067"	NA
NA	"P05091"	NA
NA	"P05387"	NA
NA	"P05388"	NA
NA	"P06310"	NA
NA	"P06748"	NA
NA	"P07437"	NA
NA	"P07954"	NA
NA	"P07998"	NA
NA	"P08123"	NA
NA	"P08195"	NA
NA	"P08294"	NA
NA	"P08493"	NA
NA	"P09104"	NA
NA	"P09471"	NA
NA	"P09486"	NA
NA	"P09668"	NA
NA	"P10163"	NA
NA	"P10636"	NA
NA	"P11216"	NA
NA	"P11217"	NA
NA	"P11678"	NA
NA	"P12004"	NA
NA	"P12036"	NA
NA	"P12235"	NA
NA	"P12236"	NA
NA	"P12277"	NA
NA	"P13533"	NA
NA	"P13637"	NA
NA	"P13667"	NA
NA	"P13688"	NA
NA	"P13804"	NA
NA	"P13928"	NA
NA	"P14735"	NA
NA	"P15502"	NA
NA	"P15515"	NA
NA	"P15516"	NA
NA	"P15822"	NA
NA	"P16233"	NA
NA	"P17987"	NA
NA	"P18085"	NA
NA	"P19012"	NA
NA	"P19338"	NA
NA	"P20151"	NA
NA	"P20742"	NA
NA	"P20827"	NA
NA	"P20933"	NA
NA	"P21246"	NA
NA	"P21281"	NA
NA	"P21741"	NA
NA	"P21810"	NA
NA	"P22695"	NA
NA	"P23396"	NA
NA	"P24592"	NA
NA	"P25089"	NA
NA	"P25705"	NA
NA	"P25787"	NA
NA	"P26572"	NA
NA	"P27816"	NA
NA	"P27918"	NA
NA	"P29622"	NA
NA	"P31152"	NA
NA	"P31943"	NA
NA	"P34897"	NA
NA	"P34931"	NA
NA	"P35030"	NA
NA	"P35222"	NA
NA	"P35318"	NA
NA	"P35325"	NA
NA	"P35442"	NA
NA	"P35475"	NA
NA	"P35580"	NA
NA	"P35900"	NA
NA	"P38606"	NA
NA	"P39060"	NA
NA	"P40199"	NA
NA	"P42357"	NA
NA	"P45877"	NA
NA	"P45880"	NA
NA	"P45973"	NA
NA	"P46782"	NA
NA	"P47929"	NA
NA	"P48047"	NA
NA	"P48668"	NA
NA	"P48735"	NA
NA	"P49448"	NA
NA	"P49720"	NA
NA	"P49862"	NA
NA	"P50213"	NA
NA	"P50570"	NA
NA	"P50897"	NA
NA	"P50995"	NA
NA	"P51665"	NA
NA	"P51888"	NA
NA	"P52597"	NA
NA	"P52823"	NA
NA	"P55268"	NA
NA	"P57053"	NA
NA	"P59768"	NA
NA	"P60022"	NA
NA	"P60842"	NA
NA	"P61247"	NA
NA	"P62081"	NA
NA	"P62873"	NA
NA	"P62879"	NA
NA	"P62995"	NA
NA	"P63027"	NA
NA	"P63092"	NA
NA	"P63241"	NA
NA	"P63261"	NA
NA	"P68032"	NA
NA	"P68363"	NA
NA	"P68371"	NA
NA	"P69891"	NA
NA	"P78352"	NA
NA	"P78371"	NA
NA	"P78386"	NA
NA	"P81605"	NA
NA	"Q00325"	NA
NA	"Q00610"	NA
NA	"Q00888"	NA
NA	"Q01105"	NA
NA	"Q01212"	NA
NA	"Q01546"	NA
NA	"Q02817"	NA
NA	"Q03154"	NA
NA	"Q04118"	NA
NA	"Q04609"	NA
NA	"Q04917"	NA
NA	"Q08043"	NA
NA	"Q08174"	NA
NA	"Q08345"	NA
NA	"Q08426"	NA
NA	"Q08554"	NA
NA	"Q0P5N8"	NA
NA	"Q10471"	NA
NA	"Q12797"	NA
NA	"Q13151"	NA
NA	"Q13185"	NA
NA	"Q13332"	NA
NA	"Q13509"	NA
NA	"Q13554"	NA
NA	"Q13584"	NA
NA	"Q13749"	NA
NA	"Q13765"	NA
NA	"Q13835"	NA
NA	"Q13838"	NA
NA	"Q13867"	NA
NA	"Q14050"	NA
NA	"Q14403"	NA
NA	"Q14473"	NA
NA	"Q14477"	NA
NA	"Q14532"	NA
NA	"Q14533"	NA
NA	"Q14651"	NA
NA	"Q14802"	NA
NA	"Q14CN4"	NA
NA	"Q15029"	NA
NA	"Q15323"	NA
NA	"Q15413"	NA
NA	"Q15847"	NA
NA	"Q16270"	NA
NA	"Q16363"	NA
NA	"Q16555"	NA
NA	"Q16586"	NA
NA	"Q16659"	NA
NA	"Q16706"	NA
NA	"Q16824"	NA
NA	"Q2M2I5"	NA
NA	"Q3SY84"	NA
NA	"Q53XC6"	NA
NA	"Q540F3"	NA
NA	"Q546E0"	NA
NA	"Q5JQI0"	NA
NA	"Q5JYW6"	NA
NA	"Q5M7Z5"	NA
NA	"Q5NV81"	NA
NA	"Q5NV82"	NA
NA	"Q5NV92"	NA
NA	"Q5RKT7"	NA
NA	"Q5SGD2"	NA
NA	"Q5SPY9"	NA
NA	"Q5T3N1"	NA
NA	"Q5T749"	NA
NA	"Q5T8U3"	NA
NA	"Q5TFM2"	NA
NA	"Q5TG39"	NA
NA	"Q5U071"	NA
NA	"Q5VSP4"	NA
NA	"Q5VTE0"	NA
NA	"Q5VV63"	NA
NA	"Q5VWQ0"	NA
NA	"Q5VY30"	NA
NA	"Q5W0H4"	NA
NA	"Q5W9G3"	NA
NA	"Q65ZC8"	NA
NA	"Q65ZC9"	NA
NA	"Q66K58"	NA
NA	"Q68CN4"	NA
NA	"Q68D45"	NA
NA	"Q68D80"	NA
NA	"Q6DEN2"	NA
NA	"Q6DHW4"	NA
NA	"Q6FIF1"	NA
NA	"Q6GMV7"	NA
NA	"Q6GMV8"	NA
NA	"Q6GMW3"	NA
NA	"Q6GMW4"	NA
NA	"Q6GMW6"	NA
NA	"Q6GMX0"	NA
NA	"Q6IN99"	NA
NA	"Q6IPQ0"	NA
NA	"Q6MZQ6"	NA
NA	"Q6MZV6"	NA
NA	"Q6MZV7"	NA
NA	"Q6MZW0"	NA
NA	"Q6MZX7"	NA
NA	"Q6MZX9"	NA
NA	"Q6N030"	NA
NA	"Q6N041"	NA
NA	"Q6N089"	NA
NA	"Q6N090"	NA
NA	"Q6N091"	NA
NA	"Q6N093"	NA
NA	"Q6N094"	NA
NA	"Q6N096"	NA
NA	"Q6N097"	NA
NA	"Q6NSB4"	NA
NA	"Q6NVC0"	NA
NA	"Q6P089"	NA
NA	"Q6P2J1"	NA
NA	"Q6P5S3"	NA
NA	"Q6P5S8"	NA
NA	"Q6PIL8"	NA
NA	"Q6PJF2"	NA
NA	"Q6PJG0"	NA
NA	"Q6PKX4"	NA
NA	"Q6T775"	NA
NA	"Q6UXB2"	NA
NA	"Q6ZP85"	NA
NA	"Q6ZP87"	NA
NA	"Q6ZQN2"	NA
NA	"Q6ZS99"	NA
NA	"Q6ZUN2"	NA
NA	"Q6ZVX0"	NA
NA	"Q6ZWK7"	NA
NA	"Q71U36"	NA
NA	"Q7M4Q5"	NA
NA	"Q7Z2U7"	NA
NA	"Q7Z345"	NA
NA	"Q7Z351"	NA
NA	"Q7Z379"	NA
NA	"Q7Z3M3"	NA
NA	"Q7Z3Y4"	NA
NA	"Q7Z3Y6"	NA
NA	"Q7Z3Y8"	NA
NA	"Q7Z3Z0"	NA
NA	"Q7Z406"	NA
NA	"Q7Z5F4"	NA
NA	"Q7Z794"	NA
NA	"Q7Z7M9"	NA
NA	"Q86SX2"	NA
NA	"Q86TT1"	NA
NA	"Q86XD5"	NA
NA	"Q86Y46"	NA
NA	"Q86YZ3"	NA
NA	"Q86Z22"	NA
NA	"Q8IUY4"	NA
NA	"Q8IWI9"	NA
NA	"Q8IWU5"	NA
NA	"Q8IYA5"	NA
NA	"Q8IZD8"	NA
NA	"Q8N2N5"	NA
NA	"Q8N355"	NA
NA	"Q8N5F4"	NA
NA	"Q8N7E6"	NA
NA	"Q8N7G1"	NA
NA	"Q8N7J2"	NA
NA	"Q8NAB7"	NA
NA	"Q8NBI4"	NA
NA	"Q8NCL6"	NA
NA	"Q8NEJ1"	NA
NA	"Q8NEL9"	NA
NA	"Q8NHM4"	NA
NA	"Q8NHW5"	NA
NA	"Q8TBD0"	NA
NA	"Q8TCD0"	NA
NA	"Q8TDR6"	NA
NA	"Q8TE63"	NA
NA	"Q8WXG9"	NA
NA	"Q8WY24"	NA
NA	"Q8WYB5"	NA
NA	"Q92522"	NA
NA	"Q92598"	NA
NA	"Q92673"	NA
NA	"Q92743"	NA
NA	"Q92764"	NA
NA	"Q92777"	NA
NA	"Q92878"	NA
NA	"Q92928"	NA
NA	"Q96C32"	NA
NA	"Q96DK0"	NA
NA	"Q96E61"	NA
NA	"Q96H31"	NA
NA	"Q96J42"	NA
NA	"Q96JD0"	NA
NA	"Q96K68"	NA
NA	"Q96L34"	NA
NA	"Q96LB3"	NA
NA	"Q96MH4"	NA
NA	"Q96P63"	NA
NA	"Q96PF6"	NA
NA	"Q96QS0"	NA
NA	"Q96SB0"	NA
NA	"Q96ST3"	NA
NA	"Q96TA1"	NA
NA	"Q99456"	NA
NA	"Q99523"	NA
NA	"Q99674"	NA
NA	"Q99798"	NA
NA	"Q99877"	NA
NA	"Q99878"	NA
NA	"Q99880"	NA
NA	"Q9BQ66"	NA
NA	"Q9BQE3"	NA
NA	"Q9BRL5"	NA
NA	"Q9BRQ8"	NA
NA	"Q9BVA1"	NA
NA	"Q9BXJ4"	NA
NA	"Q9BYF7"	NA
NA	"Q9BYQ5"	NA
NA	"Q9BYR0"	NA
NA	"Q9BYR2"	NA
NA	"Q9BZK3"	NA
NA	"Q9C075"	NA
NA	"Q9GZM7"	NA
NA	"Q9H0A0"	NA
NA	"Q9H336"	NA
NA	"Q9HAT2"	NA
NA	"Q9HB00"	NA
NA	"Q9HB40"	NA
NA	"Q9HCC1"	NA
NA	"Q9HCY8"	NA
NA	"Q9HD20"	NA
NA	"Q9NP29"	NA
NA	"Q9NPF5"	NA
NA	"Q9NPP6"	NA
NA	"Q9NQX5"	NA
NA	"Q9NR30"	NA
NA	"Q9NS68"	NA
NA	"Q9NS98"	NA
NA	"Q9NSB2"	NA
NA	"Q9NSC7"	NA
NA	"Q9NYQ8"	NA
NA	"Q9NZM1"	NA
NA	"Q9NZQ8"	NA
NA	"Q9P0M6"	NA
NA	"Q9P173"	NA
NA	"Q9UBD6"	NA
NA	"Q9UGP3"	NA
NA	"Q9UI42"	NA
NA	"Q9UII7"	NA
NA	"Q9UJJ9"	NA
NA	"Q9UK31"	NA
NA	"Q9UKV0"	NA
NA	"Q9UKX2"	NA
NA	"Q9UL70"	NA
NA	"Q9UL71"	NA
NA	"Q9UL72"	NA
NA	"Q9UL74"	NA
NA	"Q9UL75"	NA
NA	"Q9UL77"	NA
NA	"Q9UL79"	NA
NA	"Q9UL80"	NA
NA	"Q9UL81"	NA
NA	"Q9UL82"	NA
NA	"Q9UL83"	NA
NA	"Q9UL85"	NA
NA	"Q9UL86"	NA
NA	"Q9UL88"	NA
NA	"Q9UL89"	NA
NA	"Q9UL90"	NA
NA	"Q9UL91"	NA
NA	"Q9UL92"	NA
NA	"Q9UL93"	NA
NA	"Q9UL94"	NA
NA	"Q9UL95"	NA
NA	"Q9UL96"	NA
NA	"Q9ULL4"	NA
NA	"Q9UP43"	NA
NA	"Q9Y238"	NA
NA	"Q9Y274"	NA
NA	"Q9Y284"	NA
NA	"Q9Y2J0"	NA
NA	"Q9Y337"	NA
NA	"Q9Y446"	NA
NA	"Q9Y509"	NA
NA	"V9HW34"	NA
NA	"X6R8F3"	NA
NA	NA	"A0A075B6H7"
NA	NA	"A0A075B6H9"
NA	NA	"A0A075B6I0"
NA	NA	"A0A075B6I9"
NA	NA	"A0A075B6J9"
NA	NA	"A0A075B6K4"
NA	NA	"A0A075B6K5"
NA	NA	"A0A075B6Q5"
NA	NA	"A0A075B6R2"
NA	NA	"A0A075B6R9"
NA	NA	"A0A075B6S5"
NA	NA	"A0A075B6V5"
NA	NA	"A0A087WSY4"
NA	NA	"A0A087WSY6"
NA	NA	"A0A087WSZ0"
NA	NA	"A0A087WW87"
NA	NA	"A0A0A0MRZ8"
NA	NA	"A0A0A0MS14"
NA	NA	"A0A0A0MS15"
NA	NA	"A0A0A0MT36"
NA	NA	"A0A0A0MT89"
NA	NA	"A0A0B4J1U3"
NA	NA	"A0A0B4J1U7"
NA	NA	"A0A0B4J1V0"
NA	NA	"A0A0B4J1V2"
NA	NA	"A0A0B4J1V7"
NA	NA	"A0A0B4J1X5"
NA	NA	"A0A0B4J1X8"
NA	NA	"A0A0B4J1Y8"
NA	NA	"A0A0B4J1Y9"
NA	NA	"A0A0B4J2D9"
NA	NA	"A0A0C4DH25"
NA	NA	"A0A0C4DH29"
NA	NA	"A0A0C4DH31"
NA	NA	"A0A0C4DH34"
NA	NA	"A0A0C4DH35"
NA	NA	"A0A0C4DH36"
NA	NA	"A0A0C4DH38"
NA	NA	"A0A0C4DH43"
NA	NA	"A0A0C4DH69"
NA	NA	"A0A0C4DH72"
NA	NA	"A0A0G2JS06"
NA	NA	"A0A0J9YVY3"
NA	NA	"A0A0J9YX35"
NA	NA	"A0A0J9YXX1"
NA	NA	"A0A1B0GUS4"
NA	NA	"A0M8Q6"
NA	NA	"A2NJV5"
NA	NA	"A4D2P6"
NA	NA	"A6NI72"
NA	NA	"A6NMB1"
NA	NA	"A6NMY6"
NA	NA	"A8K2U0"
NA	NA	"A8MTJ3"
NA	NA	"A8MVU1"
NA	NA	"A8MX19"
NA	NA	"B3EWG6"
NA	NA	"B9A064"
NA	NA	"C9JRZ8"
NA	NA	"D6REC4"
NA	NA	"O00148"
NA	NA	"O00160"
NA	NA	"O00233"
NA	NA	"O00468"
NA	NA	"O00602"
NA	NA	"O00748"
NA	NA	"O00750"
NA	NA	"O00764"
NA	NA	"O14727"
NA	NA	"O14732"
NA	NA	"O14773"
NA	NA	"O14791"
NA	NA	"O14798"
NA	NA	"O14818"
NA	NA	"O14829"
NA	NA	"O14908"
NA	NA	"O14950"
NA	NA	"O14974"
NA	NA	"O15067"
NA	NA	"O15143"
NA	NA	"O15144"
NA	NA	"O15145"
NA	NA	"O15226"
NA	NA	"O15231"
NA	NA	"O15263"
NA	NA	"O15400"
NA	NA	"O15511"
NA	NA	"O15516"
NA	NA	"O43242"
NA	NA	"O43451"
NA	NA	"O43809"
NA	NA	"O43813"
NA	NA	"O43866"
NA	NA	"O60218"
NA	NA	"O60259"
NA	NA	"O60361"
NA	NA	"O60610"
NA	NA	"O60635"
NA	NA	"O60664"
NA	NA	"O60784"
NA	NA	"O75078"
NA	NA	"O75347"
NA	NA	"O75351"
NA	NA	"O75367"
NA	NA	"O75390"
NA	NA	"O75503"
NA	NA	"O75506"
NA	NA	"O75556"
NA	NA	"O75600"
NA	NA	"O75787"
NA	NA	"O75874"
NA	NA	"O94919"
NA	NA	"O95197"
NA	NA	"O95274"
NA	NA	"O95467"
NA	NA	"O95479"
NA	NA	"O95498"
NA	NA	"O95758"
NA	NA	"O95777"
NA	NA	"O95867"
NA	NA	"O95881"
NA	NA	"O95968"
NA	NA	"O95969"
NA	NA	"P00338"
NA	NA	"P00390"
NA	NA	"P00450"
NA	NA	"P00491"
NA	NA	"P00492"
NA	NA	"P00505"
NA	NA	"P00568"
NA	NA	"P00736"
NA	NA	"P00739"
NA	NA	"P00813"
NA	NA	"P00915"
NA	NA	"P00918"
NA	NA	"P01008"
NA	NA	"P01009"
NA	NA	"P01011"
NA	NA	"P01019"
NA	NA	"P01031"
NA	NA	"P01042"
NA	NA	"P01601"
NA	NA	"P01703"
NA	NA	"P01709"
NA	NA	"P01814"
NA	NA	"P01834"
NA	NA	"P01857"
NA	NA	"P01859"
NA	NA	"P01860"
NA	NA	"P01876"
NA	NA	"P01877"
NA	NA	"P02042"
NA	NA	"P02545"
NA	NA	"P02654"
NA	NA	"P02750"
NA	NA	"P02760"
NA	NA	"P02763"
NA	NA	"P02766"
NA	NA	"P02768.1"
NA	NA	"P04003"
NA	NA	"P04004"
NA	NA	"P04040"
NA	NA	"P04062"
NA	NA	"P04075"
NA	NA	"P04114"
NA	NA	"P04179"
NA	NA	"P04217"
NA	NA	"P04406"
NA	NA	"P04424"
NA	NA	"P04430"
NA	NA	"P04432"
NA	NA	"P04632"
NA	NA	"P04839"
NA	NA	"P04844"
NA	NA	"P05107"
NA	NA	"P05120"
NA	NA	"P05155"
NA	NA	"P05156"
NA	NA	"P06737"
NA	NA	"P06753"
NA	NA	"P07357"
NA	NA	"P07737"
NA	NA	"P07741"
NA	NA	"P07900"
NA	NA	"P08133"
NA	NA	"P08174"
NA	NA	"P08185"
NA	NA	"P08238"
NA	NA	"P08637"
NA	NA	"P08670"
NA	NA	"P08697"
NA	NA	"P08865"
NA	NA	"P09211"
NA	NA	"P09237"
NA	NA	"P09429"
NA	NA	"P09758"
NA	NA	"P09972"
NA	NA	"P0C0L4"
NA	NA	"P0CB33"
NA	NA	"P0CG39"
NA	NA	"P0DMN0"
NA	NA	"P0DMV9"
NA	NA	"P0DOX2"
NA	NA	"P0DOX3"
NA	NA	"P0DOX5"
NA	NA	"P0DOX6"
NA	NA	"P0DOX7"
NA	NA	"P0DOY2"
NA	NA	"P0DOY3"
NA	NA	"P0DP01"
NA	NA	"P0DP02"
NA	NA	"P0DP04"
NA	NA	"P0DP25"
NA	NA	"P0DP57"
NA	NA	"P0DPH8"
NA	NA	"P0DTE1"
NA	NA	"P10253"
NA	NA	"P10619"
NA	NA	"P10644"
NA	NA	"P10768"
NA	NA	"P10809"
NA	NA	"P11215"
NA	NA	"P11233"
NA	NA	"P11279"
NA	NA	"P11413"
NA	NA	"P12035"
NA	NA	"P12532"
NA	NA	"P12955"
NA	NA	"P12956"
NA	NA	"P13010"
NA	NA	"P13646.1"
NA	NA	"P14174"
NA	NA	"P14317"
NA	NA	"P14324"
NA	NA	"P14550"
NA	NA	"P14618"
NA	NA	"P14866"
NA	NA	"P15104"
NA	NA	"P15144"
NA	NA	"P15289"
NA	NA	"P15311"
NA	NA	"P15531"
NA	NA	"P15586"
NA	NA	"P15927"
NA	NA	"P16035"
NA	NA	"P16083"
NA	NA	"P16298"
NA	NA	"P16401"
NA	NA	"P16930"
NA	NA	"P16949"
NA	NA	"P17213"
NA	NA	"P17655"
NA	NA	"P17931"
NA	NA	"P19013"
NA	NA	"P19021"
NA	NA	"P19823"
NA	NA	"P19971"
NA	NA	"P20618"
NA	NA	"P20700"
NA	NA	"P20810"
NA	NA	"P21926"
NA	NA	"P22061"
NA	NA	"P22304"
NA	NA	"P22314"
NA	NA	"P22352"
NA	NA	"P22626"
NA	NA	"P22792"
NA	NA	"P23141"
NA	NA	"P23284"
NA	NA	"P23381"
NA	NA	"P23497"
NA	NA	"P23588"
NA	NA	"P24534"
NA	NA	"P24844"
NA	NA	"P25325"
NA	NA	"P25398"
NA	NA	"P25685"
NA	NA	"P25786"
NA	NA	"P25789"
NA	NA	"P26022"
NA	NA	"P26368"
NA	NA	"P26447"
NA	NA	"P26583"
NA	NA	"P26599"
NA	NA	"P26641"
NA	NA	"P27105"
NA	NA	"P27169"
NA	NA	"P27448"
NA	NA	"P27482"
NA	NA	"P27695"
NA	NA	"P27986"
NA	NA	"P28065"
NA	NA	"P28482"
NA	NA	"P29034"
NA	NA	"P29350"
NA	NA	"P29692"
NA	NA	"P30040"
NA	NA	"P30041"
NA	NA	"P30046"
NA	NA	"P30048"
NA	NA	"P30084"
NA	NA	"P30086"
NA	NA	"P30520"
NA	NA	"P30838"
NA	NA	"P31150"
NA	NA	"P31644"
NA	NA	"P31939"
NA	NA	"P31946"
NA	NA	"P31948"
NA	NA	"P33241"
NA	NA	"P33908"
NA	NA	"P35221"
NA	NA	"P35542"
NA	NA	"P35749"
NA	NA	"P35754"
NA	NA	"P36222"
NA	NA	"P36871"
NA	NA	"P36955"
NA	NA	"P36980"
NA	NA	"P37173"
NA	NA	"P37837"
NA	NA	"P38159"
NA	NA	"P38646"
NA	NA	"P39687"
NA	NA	"P40763"
NA	NA	"P40925"
NA	NA	"P41218"
NA	NA	"P42167"
NA	NA	"P42261"
NA	NA	"P42331"
NA	NA	"P43166"
NA	NA	"P46734"
NA	NA	"P46926"
NA	NA	"P47755"
NA	NA	"P47897"
NA	NA	"P48147"
NA	NA	"P48595"
NA	NA	"P48637"
NA	NA	"P48643"
NA	NA	"P48723"
NA	NA	"P49189"
NA	NA	"P49247"
NA	NA	"P49327"
NA	NA	"P49756"
NA	NA	"P49788"
NA	NA	"P49902"
NA	NA	"P49913"
NA	NA	"P50452"
NA	NA	"P50552"
NA	NA	"P50851"
NA	NA	"P51148"
